Shipping_Mode,Order_Priority,Customer_Segment,Market,Product_Category,Order_Quantity,Discount,Price,Days_for_Shipment_Scheduled,Order_Weekday,Order_Month,Late_Delivery_Risk
First Class,High,Corporate,LATAM,Electronics,14,0.17,895.47,1,Friday,10,0
Standard Class,Low,Corporate,USCA,Apparel,16,0.36,663.46,4,Thursday,2,1
Standard Class,Medium,Home Office,Africa,Grocery,9,0.36,729.07,5,Monday,8,1
Same Day,Medium,Consumer,Europe,Apparel,16,0.05,1127.44,5,Sunday,8,0
Standard Class,Medium,Corporate,Pacific Asia,Furniture,1,0.21,53.51,3,Thursday,4,0
Standard Class,Medium,Consumer,LATAM,Apparel,2,0.38,770.16,7,Thursday,11,0
Standard Class,Low,Corporate,Europe,Grocery,7,0.24,106.98,5,Monday,4,0
Second Class,Medium,Consumer,Pacific Asia,Electronics,12,0.32,949.61,3,Tuesday,8,0
Same Day,Medium,Home Office,Pacific Asia,Grocery,18,0.15,1076.4,1,Wednesday,12,0
Standard Class,High,Consumer,Europe,Grocery,6,0.15,112.97,1,Friday,5,1
First Class,High,Consumer,LATAM,Grocery,2,0.13,40.75,5,Wednesday,10,0
Standard Class,Low,Consumer,Pacific Asia,Office Supplies,14,0.01,1147.25,2,Thursday,8,1
Same Day,Low,Home Office,Pacific Asia,Electronics,16,0.37,1112.57,1,Thursday,5,1
First Class,High,Consumer,USCA,Office Supplies,10,0.14,1109.26,3,Friday,11,0
First Class,Medium,Consumer,USCA,Apparel,5,0.15,1128.23,5,Friday,2,0
Standard Class,High,Consumer,USCA,Electronics,16,0.3,605.12,6,Friday,3,1
Same Day,Low,Consumer,Pacific Asia,Electronics,7,0.21,1172.51,6,Friday,2,0
Second Class,Medium,Consumer,Pacific Asia,Apparel,15,0.14,1071.85,2,Saturday,2,0
Standard Class,Medium,Corporate,LATAM,Apparel,13,0.35,126.22,1,Thursday,8,1
First Class,High,Consumer,Africa,Grocery,17,0.33,977.12,3,Thursday,5,1
Standard Class,Low,Corporate,USCA,Electronics,18,0.39,857.81,6,Thursday,7,1
First Class,Low,Consumer,Africa,Furniture,18,0.26,169.58,5,Wednesday,5,0
Standard Class,Medium,Consumer,USCA,Grocery,17,0.28,888.13,3,Monday,4,1
Second Class,High,Corporate,USCA,Electronics,3,0.13,587.06,5,Tuesday,5,0
Standard Class,High,Consumer,LATAM,Apparel,12,0.04,1026.05,2,Thursday,8,1
Standard Class,Critical,Consumer,LATAM,Apparel,6,0.04,984.37,7,Tuesday,8,1
Standard Class,Critical,Consumer,Europe,Furniture,12,0.26,1131.37,3,Monday,5,1
Standard Class,Low,Consumer,USCA,Electronics,11,0.05,99.58,7,Friday,8,0
Standard Class,Low,Corporate,USCA,Office Supplies,9,0.36,855.19,6,Thursday,11,0
Standard Class,Low,Corporate,USCA,Grocery,19,0.28,458.72,3,Tuesday,5,1
Second Class,Low,Corporate,LATAM,Electronics,19,0.09,933.43,7,Saturday,7,0
Standard Class,High,Consumer,USCA,Office Supplies,2,0.11,727.05,7,Friday,1,0
Standard Class,High,Consumer,Europe,Apparel,13,0.28,599.74,1,Tuesday,8,1
Second Class,Low,Consumer,Pacific Asia,Apparel,18,0.33,15.04,3,Sunday,8,0
Standard Class,Medium,Corporate,Europe,Office Supplies,4,0.34,732.53,1,Tuesday,4,1
Same Day,High,Consumer,Pacific Asia,Office Supplies,14,0.24,510.25,3,Monday,6,0
First Class,Medium,Consumer,LATAM,Furniture,14,0.06,405.71,3,Wednesday,1,0
Second Class,Low,Corporate,Africa,Electronics,5,0.33,1186.64,1,Monday,7,1
Second Class,Medium,Consumer,LATAM,Apparel,19,0.32,843.44,7,Wednesday,1,0
First Class,Low,Home Office,Africa,Grocery,2,0.33,652.46,1,Tuesday,3,1
Standard Class,Medium,Consumer,Pacific Asia,Apparel,16,0.06,1043.78,6,Thursday,1,0
Standard Class,Medium,Corporate,Africa,Electronics,6,0.27,280.25,1,Saturday,8,1
Standard Class,Low,Consumer,Pacific Asia,Office Supplies,11,0.38,747.69,2,Sunday,6,1
First Class,Critical,Home Office,Africa,Furniture,12,0.1,1034.5,7,Wednesday,11,1
Standard Class,Medium,Consumer,Pacific Asia,Apparel,13,0.29,157.07,5,Thursday,9,1
Second Class,Medium,Consumer,Africa,Furniture,10,0.1,290.95,6,Wednesday,5,0
Same Day,Critical,Consumer,Pacific Asia,Office Supplies,14,0.12,108.33,4,Tuesday,9,0
First Class,Low,Home Office,Europe,Electronics,4,0.19,1191.01,5,Sunday,6,0
Standard Class,Low,Home Office,USCA,Apparel,2,0.36,701.29,5,Saturday,6,0
Standard Class,High,Consumer,Europe,Electronics,19,0.02,592.49,5,Wednesday,11,0
First Class,Low,Corporate,LATAM,Grocery,19,0.4,412.74,6,Tuesday,12,0
Second Class,High,Corporate,Africa,Electronics,15,0.31,544.85,2,Wednesday,3,1
Standard Class,Low,Consumer,Pacific Asia,Office Supplies,9,0.14,933.27,6,Tuesday,9,0
Standard Class,Low,Consumer,Europe,Office Supplies,4,0.14,1100.89,7,Sunday,3,0
Same Day,Medium,Home Office,Europe,Grocery,13,0.19,134.88,5,Saturday,7,0
Second Class,Low,Consumer,Pacific Asia,Electronics,9,0.35,366.56,7,Monday,1,0
First Class,High,Consumer,Africa,Office Supplies,12,0.01,235.06,6,Saturday,1,0
First Class,Medium,Consumer,LATAM,Office Supplies,14,0.22,528.23,7,Monday,4,0
Second Class,High,Consumer,LATAM,Office Supplies,12,0.02,641.28,2,Tuesday,5,0
Standard Class,High,Corporate,LATAM,Office Supplies,13,0.05,868.32,7,Saturday,4,0
Standard Class,Low,Consumer,Pacific Asia,Furniture,18,0.28,1052.03,4,Monday,9,1
Standard Class,High,Consumer,Europe,Apparel,5,0.09,655.13,4,Sunday,10,0
Standard Class,Medium,Consumer,LATAM,Furniture,19,0.02,591.63,1,Wednesday,7,1
First Class,Medium,Consumer,Europe,Office Supplies,3,0.07,695.15,5,Thursday,1,0
Second Class,High,Consumer,LATAM,Electronics,17,0.08,1067.21,5,Tuesday,9,0
First Class,Medium,Home Office,LATAM,Furniture,7,0.31,781.77,1,Friday,7,0
Standard Class,Medium,Consumer,Africa,Grocery,3,0.25,946.97,2,Tuesday,4,1
Second Class,Medium,Corporate,Pacific Asia,Apparel,7,0.29,866.2,5,Friday,1,0
Second Class,Low,Consumer,Africa,Electronics,6,0.15,1108.98,7,Monday,1,0
Second Class,Low,Consumer,Europe,Furniture,14,0.05,982.16,5,Monday,10,0
Second Class,Medium,Consumer,Europe,Apparel,1,0.32,416.03,7,Friday,4,0
Standard Class,Low,Corporate,Pacific Asia,Furniture,14,0.06,1026.7,7,Saturday,10,1
Standard Class,Low,Home Office,LATAM,Grocery,11,0.15,566.26,6,Friday,8,0
Standard Class,Low,Consumer,Pacific Asia,Office Supplies,9,0.1,1018.19,6,Wednesday,2,0
Standard Class,Medium,Consumer,LATAM,Grocery,10,0.12,1087.84,7,Saturday,1,0
Standard Class,Low,Corporate,USCA,Office Supplies,11,0.24,825.47,4,Friday,3,0
Second Class,High,Consumer,USCA,Apparel,18,0.07,865.47,2,Wednesday,6,0
Same Day,Low,Corporate,Pacific Asia,Furniture,17,0.18,177.92,2,Wednesday,1,0
Second Class,Medium,Consumer,USCA,Furniture,14,0.26,395.38,4,Thursday,1,0
Second Class,Medium,Corporate,USCA,Grocery,17,0.35,673.7,2,Wednesday,4,1
Standard Class,Medium,Corporate,Europe,Electronics,7,0.15,14.18,6,Thursday,7,0
Second Class,Low,Consumer,LATAM,Apparel,8,0.13,1018.26,1,Thursday,8,0
Standard Class,Critical,Corporate,USCA,Office Supplies,8,0.15,449.68,5,Friday,9,1
Standard Class,High,Consumer,Africa,Apparel,19,0.2,870.84,7,Wednesday,4,1
Standard Class,High,Consumer,Europe,Grocery,5,0.13,925.46,7,Thursday,9,0
Standard Class,High,Consumer,LATAM,Furniture,7,0.1,662.22,3,Monday,9,0
Standard Class,Medium,Consumer,Europe,Office Supplies,13,0.15,950.37,6,Tuesday,6,0
Standard Class,Medium,Consumer,Africa,Office Supplies,15,0.31,822.07,1,Sunday,9,1
Standard Class,Medium,Home Office,LATAM,Office Supplies,14,0.1,438.21,4,Saturday,5,0
Same Day,Medium,Corporate,Pacific Asia,Office Supplies,15,0.34,981.23,4,Tuesday,11,0
Standard Class,High,Consumer,Pacific Asia,Apparel,14,0.11,766.91,4,Tuesday,9,1
Standard Class,Medium,Home Office,Europe,Apparel,13,0.24,200.64,3,Monday,6,1
Standard Class,Critical,Consumer,Pacific Asia,Grocery,4,0.39,929.66,1,Thursday,8,1
Second Class,Low,Corporate,LATAM,Furniture,9,0.38,814.66,3,Sunday,7,0
Standard Class,High,Consumer,Africa,Furniture,14,0.17,348.73,6,Wednesday,11,1
Standard Class,Medium,Corporate,Africa,Apparel,17,0.03,1011.95,5,Thursday,8,1
Standard Class,Medium,Corporate,Pacific Asia,Grocery,1,0.36,455.07,4,Wednesday,10,0
Standard Class,Low,Corporate,USCA,Electronics,1,0.05,667.76,3,Thursday,1,0
Standard Class,High,Consumer,USCA,Office Supplies,4,0.37,418.36,5,Saturday,11,0
Standard Class,High,Consumer,USCA,Furniture,8,0.29,872.0,5,Tuesday,8,0
Standard Class,Low,Consumer,Pacific Asia,Office Supplies,5,0.37,701.59,6,Monday,1,0
Standard Class,Medium,Consumer,Pacific Asia,Furniture,14,0.27,569.65,5,Sunday,4,1
Standard Class,Low,Consumer,Pacific Asia,Electronics,14,0.4,34.18,4,Thursday,6,1
First Class,Critical,Corporate,LATAM,Furniture,2,0.19,732.55,2,Thursday,2,1
Second Class,Medium,Home Office,USCA,Electronics,12,0.13,750.6,5,Thursday,7,0
Standard Class,Low,Consumer,Europe,Furniture,18,0.16,225.67,2,Monday,1,1
Standard Class,Low,Consumer,LATAM,Apparel,6,0.14,405.45,5,Thursday,9,0
Same Day,Medium,Home Office,LATAM,Office Supplies,9,0.16,1055.76,3,Thursday,2,0
Standard Class,Low,Home Office,Pacific Asia,Grocery,9,0.35,663.51,6,Monday,1,0
Standard Class,Medium,Consumer,Pacific Asia,Grocery,4,0.24,527.74,5,Friday,6,0
Second Class,High,Consumer,LATAM,Furniture,10,0.29,1123.79,4,Monday,6,0
Standard Class,High,Corporate,Pacific Asia,Grocery,12,0.12,976.22,4,Thursday,9,0
Standard Class,Low,Corporate,USCA,Office Supplies,8,0.4,125.99,2,Thursday,4,1
Standard Class,Critical,Consumer,LATAM,Apparel,16,0.11,1032.12,2,Saturday,9,1
First Class,Medium,Corporate,LATAM,Apparel,12,0.06,188.19,6,Friday,9,0
Standard Class,Low,Corporate,LATAM,Electronics,17,0.31,218.01,7,Monday,1,1
Second Class,Low,Consumer,Pacific Asia,Grocery,17,0.34,99.66,1,Saturday,11,1
Same Day,Low,Corporate,LATAM,Office Supplies,19,0.16,582.81,3,Sunday,5,0
Standard Class,High,Consumer,Europe,Grocery,7,0.22,777.18,6,Tuesday,10,0
Standard Class,Low,Corporate,Europe,Office Supplies,4,0.17,906.92,1,Wednesday,11,1
Standard Class,Low,Corporate,USCA,Electronics,9,0.12,41.8,6,Thursday,1,0
Standard Class,High,Consumer,LATAM,Grocery,12,0.33,221.65,5,Wednesday,6,0
Standard Class,Medium,Corporate,LATAM,Apparel,13,0.3,749.26,2,Tuesday,5,1
Same Day,High,Corporate,Pacific Asia,Electronics,9,0.19,635.44,4,Saturday,11,0
Second Class,Medium,Home Office,Africa,Grocery,11,0.18,71.11,3,Sunday,10,0
Second Class,Low,Consumer,Africa,Apparel,5,0.07,1123.14,4,Tuesday,6,0
Standard Class,High,Consumer,LATAM,Apparel,8,0.25,912.63,6,Sunday,9,0
First Class,Low,Home Office,USCA,Office Supplies,12,0.37,436.97,2,Sunday,6,0
Same Day,Medium,Corporate,Europe,Apparel,16,0.29,648.31,1,Thursday,7,1
First Class,Medium,Home Office,LATAM,Furniture,10,0.2,455.36,3,Tuesday,7,0
Standard Class,Low,Consumer,LATAM,Grocery,15,0.02,551.79,2,Thursday,11,1
Second Class,Critical,Consumer,USCA,Grocery,12,0.37,719.46,7,Monday,10,0
Standard Class,Medium,Consumer,USCA,Office Supplies,14,0.12,484.18,7,Wednesday,2,1
Standard Class,Low,Home Office,Africa,Apparel,13,0.12,748.65,4,Sunday,4,1
Standard Class,High,Home Office,LATAM,Office Supplies,16,0.19,563.52,5,Wednesday,8,1
Second Class,Medium,Corporate,LATAM,Furniture,10,0.17,792.14,5,Wednesday,4,0
Second Class,Medium,Consumer,Pacific Asia,Office Supplies,8,0.38,322.04,5,Thursday,7,0
Standard Class,Medium,Consumer,Europe,Grocery,14,0.07,213.72,7,Monday,6,0
Standard Class,High,Corporate,Pacific Asia,Office Supplies,5,0.28,26.16,6,Friday,9,0
Standard Class,Low,Corporate,Pacific Asia,Grocery,6,0.04,726.36,1,Friday,3,1
Standard Class,Low,Corporate,Europe,Electronics,9,0.11,1177.13,7,Wednesday,2,0
Standard Class,Medium,Consumer,LATAM,Furniture,13,0.29,510.26,4,Thursday,10,1
Standard Class,Low,Consumer,Africa,Furniture,13,0.32,263.03,3,Thursday,2,1
First Class,Medium,Consumer,Europe,Grocery,2,0.19,25.6,2,Wednesday,3,0
Standard Class,Low,Corporate,USCA,Electronics,13,0.32,620.21,7,Saturday,3,1
Standard Class,Low,Consumer,LATAM,Apparel,2,0.37,1191.32,5,Thursday,11,0
Standard Class,Low,Home Office,Europe,Office Supplies,15,0.37,1180.69,5,Friday,9,1
Same Day,Medium,Corporate,Europe,Apparel,12,0.14,130.61,1,Friday,10,0
Second Class,High,Consumer,Europe,Electronics,10,0.12,981.52,5,Saturday,1,0
Second Class,Low,Consumer,Africa,Furniture,4,0.29,216.25,1,Tuesday,2,1
Standard Class,Medium,Home Office,Pacific Asia,Apparel,8,0.26,973.13,7,Tuesday,11,0
Second Class,Low,Consumer,Pacific Asia,Electronics,4,0.16,1025.72,1,Friday,8,0
Standard Class,Medium,Consumer,Europe,Furniture,2,0.09,19.2,1,Wednesday,10,1
Second Class,Low,Home Office,Europe,Apparel,18,0.25,292.34,5,Monday,9,0
Same Day,Medium,Corporate,Pacific Asia,Furniture,18,0.17,77.3,5,Monday,7,0
Second Class,Medium,Corporate,Africa,Grocery,14,0.05,603.7,6,Saturday,6,0
First Class,High,Consumer,LATAM,Furniture,10,0.26,41.79,7,Thursday,4,0
Second Class,Low,Home Office,Pacific Asia,Furniture,12,0.28,755.04,3,Saturday,9,0
Standard Class,High,Consumer,Europe,Electronics,8,0.15,674.41,1,Tuesday,4,1
Same Day,Medium,Consumer,Africa,Electronics,17,0.33,461.48,6,Thursday,2,0
Standard Class,High,Consumer,Africa,Office Supplies,12,0.03,559.54,2,Friday,8,1
Standard Class,Low,Consumer,Europe,Electronics,3,0.2,1188.21,6,Wednesday,7,0
Standard Class,Low,Home Office,USCA,Grocery,10,0.38,209.51,4,Sunday,12,0
Standard Class,High,Corporate,Africa,Grocery,11,0.08,879.94,1,Saturday,8,1
Standard Class,Low,Corporate,Pacific Asia,Furniture,14,0.07,777.92,6,Sunday,5,0
Standard Class,Low,Home Office,USCA,Electronics,7,0.15,799.8,2,Tuesday,6,1
Standard Class,Low,Consumer,LATAM,Office Supplies,5,0.11,421.4,1,Thursday,9,1
Second Class,High,Consumer,Pacific Asia,Electronics,1,0.09,267.6,5,Wednesday,5,0
Standard Class,Low,Corporate,Europe,Office Supplies,12,0.38,784.48,6,Wednesday,1,0
Standard Class,High,Corporate,USCA,Furniture,16,0.14,1096.14,7,Thursday,4,0
Second Class,Medium,Consumer,Pacific Asia,Grocery,6,0.02,1171.43,5,Thursday,10,0
Standard Class,Low,Consumer,Africa,Electronics,10,0.36,582.28,3,Monday,2,1
Second Class,Medium,Consumer,Europe,Electronics,15,0.18,516.48,3,Wednesday,1,0
Second Class,Low,Consumer,USCA,Grocery,15,0.29,425.24,7,Thursday,12,0
First Class,Medium,Consumer,Africa,Grocery,6,0.15,973.87,1,Thursday,8,1
Second Class,Medium,Consumer,Europe,Apparel,1,0.37,313.93,7,Tuesday,5,0
Standard Class,Medium,Consumer,Europe,Apparel,6,0.12,620.5,5,Thursday,7,0
Second Class,Low,Consumer,USCA,Apparel,13,0.27,420.61,1,Monday,3,1
Standard Class,Medium,Consumer,USCA,Grocery,11,0.33,1052.08,7,Wednesday,10,0
Standard Class,High,Home Office,USCA,Apparel,12,0.1,346.38,6,Sunday,7,0
First Class,Medium,Home Office,Pacific Asia,Electronics,14,0.32,826.92,2,Thursday,11,1
Standard Class,High,Corporate,Europe,Grocery,9,0.32,710.61,1,Friday,2,1
First Class,Low,Home Office,LATAM,Electronics,13,0.39,400.76,7,Monday,3,0
First Class,High,Home Office,Africa,Grocery,4,0.37,313.19,3,Saturday,4,0
First Class,Low,Consumer,USCA,Furniture,9,0.16,966.51,4,Friday,6,0
Same Day,Low,Consumer,Europe,Electronics,1,0.24,617.5,2,Tuesday,10,0
Standard Class,High,Home Office,Africa,Grocery,8,0.37,737.64,3,Monday,6,1
Standard Class,High,Corporate,LATAM,Office Supplies,2,0.0,1154.88,5,Wednesday,6,0
Second Class,Medium,Consumer,Africa,Grocery,13,0.25,483.64,1,Monday,12,1
Standard Class,Low,Corporate,LATAM,Furniture,13,0.09,978.99,3,Tuesday,12,1
Second Class,Low,Consumer,USCA,Grocery,1,0.3,770.13,6,Tuesday,6,0
Second Class,Medium,Consumer,Pacific Asia,Furniture,1,0.32,716.31,3,Monday,12,0
Second Class,High,Consumer,LATAM,Apparel,6,0.29,74.93,5,Sunday,11,0
Standard Class,Low,Consumer,USCA,Electronics,16,0.4,1095.71,4,Monday,1,1
Standard Class,High,Consumer,Africa,Furniture,17,0.19,282.03,5,Wednesday,11,1
Standard Class,Low,Home Office,Africa,Office Supplies,13,0.22,573.09,1,Saturday,10,1
Standard Class,High,Consumer,Africa,Electronics,18,0.16,904.9,6,Saturday,3,1
First Class,High,Consumer,Pacific Asia,Grocery,3,0.39,631.56,5,Thursday,3,0
Standard Class,Medium,Consumer,Europe,Grocery,15,0.37,15.16,1,Monday,8,1
Standard Class,Low,Corporate,LATAM,Furniture,2,0.39,1139.36,7,Thursday,8,0
Standard Class,High,Home Office,Europe,Office Supplies,6,0.39,34.38,7,Thursday,6,0
Second Class,Medium,Consumer,Africa,Furniture,14,0.36,117.0,6,Saturday,1,0
Second Class,Medium,Consumer,Pacific Asia,Office Supplies,18,0.37,276.72,6,Monday,12,0
Standard Class,Medium,Consumer,USCA,Furniture,4,0.05,722.76,7,Wednesday,12,0
Standard Class,Low,Corporate,Pacific Asia,Apparel,8,0.07,1165.65,5,Saturday,12,0
Standard Class,High,Consumer,Europe,Apparel,2,0.35,1107.96,4,Saturday,3,0
Standard Class,Low,Consumer,Africa,Apparel,2,0.29,785.09,1,Tuesday,8,1
Second Class,High,Consumer,LATAM,Furniture,17,0.35,892.61,1,Saturday,12,1
Second Class,Low,Consumer,Pacific Asia,Electronics,4,0.31,857.14,3,Friday,1,0
Standard Class,Medium,Home Office,Europe,Grocery,16,0.06,827.47,5,Monday,4,0
Standard Class,Low,Consumer,Europe,Electronics,2,0.37,976.75,3,Sunday,10,0
Same Day,Low,Consumer,USCA,Grocery,19,0.31,414.47,2,Friday,6,1
Standard Class,Low,Home Office,LATAM,Office Supplies,6,0.23,273.13,1,Friday,2,1
Second Class,Medium,Home Office,Europe,Apparel,2,0.21,423.7,4,Tuesday,8,0
Standard Class,Medium,Consumer,LATAM,Apparel,9,0.23,67.84,7,Wednesday,12,0
Standard Class,High,Home Office,Africa,Grocery,6,0.16,1160.77,4,Thursday,11,1
Standard Class,Low,Corporate,Pacific Asia,Apparel,6,0.32,890.01,1,Wednesday,9,1
Standard Class,Medium,Consumer,Europe,Electronics,8,0.36,263.99,3,Tuesday,3,0
Same Day,High,Consumer,Africa,Furniture,1,0.1,314.39,1,Friday,9,0
Standard Class,Low,Consumer,USCA,Apparel,16,0.02,1191.2,2,Wednesday,9,1
Standard Class,Medium,Consumer,LATAM,Apparel,10,0.08,924.05,6,Wednesday,11,0
Standard Class,Medium,Consumer,Africa,Office Supplies,19,0.3,516.53,7,Friday,9,1
Standard Class,Low,Corporate,LATAM,Furniture,18,0.35,255.91,7,Wednesday,6,1
Standard Class,Low,Home Office,LATAM,Grocery,16,0.14,58.11,2,Saturday,10,1
Standard Class,Medium,Consumer,Europe,Furniture,1,0.06,806.48,7,Thursday,3,0
First Class,Low,Consumer,LATAM,Furniture,15,0.34,938.17,2,Saturday,4,1
Standard Class,Medium,Consumer,Africa,Grocery,16,0.09,138.22,1,Sunday,5,1
Standard Class,High,Corporate,USCA,Furniture,11,0.1,12.84,6,Thursday,2,0
Same Day,Medium,Corporate,Europe,Office Supplies,6,0.04,435.34,5,Wednesday,7,0
Standard Class,Medium,Consumer,Pacific Asia,Electronics,14,0.36,804.26,3,Sunday,7,1
Same Day,Low,Corporate,USCA,Furniture,16,0.13,1109.32,4,Sunday,9,0
Standard Class,High,Consumer,Africa,Electronics,4,0.07,1056.65,6,Friday,9,1
First Class,Low,Corporate,Europe,Office Supplies,8,0.38,829.35,5,Tuesday,9,0
Second Class,Medium,Consumer,LATAM,Office Supplies,19,0.13,978.72,6,Friday,1,0
First Class,Critical,Consumer,USCA,Furniture,19,0.3,433.48,1,Thursday,9,1
Same Day,Medium,Consumer,Europe,Apparel,1,0.09,301.67,3,Saturday,6,0
Standard Class,Medium,Home Office,Pacific Asia,Furniture,3,0.29,157.81,7,Tuesday,7,0
Same Day,Medium,Corporate,Pacific Asia,Electronics,8,0.09,226.14,6,Sunday,5,0
Standard Class,Low,Home Office,Pacific Asia,Office Supplies,13,0.26,1155.89,1,Friday,7,1
Standard Class,High,Consumer,Europe,Electronics,19,0.18,1116.65,7,Wednesday,11,0
Standard Class,Low,Consumer,USCA,Electronics,1,0.32,65.83,4,Thursday,11,0
Standard Class,Medium,Consumer,LATAM,Grocery,13,0.29,569.23,1,Friday,7,1
Standard Class,Low,Corporate,USCA,Office Supplies,10,0.37,454.27,7,Wednesday,8,0
Second Class,High,Home Office,LATAM,Office Supplies,16,0.15,785.62,1,Wednesday,4,0
Standard Class,Low,Home Office,USCA,Electronics,9,0.3,400.79,5,Tuesday,8,0
First Class,Medium,Corporate,USCA,Office Supplies,2,0.39,343.93,1,Wednesday,11,0
First Class,Medium,Corporate,Europe,Furniture,8,0.13,972.91,4,Tuesday,7,0
Standard Class,Medium,Home Office,Pacific Asia,Grocery,3,0.12,1137.07,5,Wednesday,3,0
Standard Class,Low,Consumer,Pacific Asia,Furniture,2,0.31,251.33,7,Tuesday,3,0
Standard Class,Medium,Home Office,Pacific Asia,Apparel,4,0.18,290.0,1,Friday,12,1
Standard Class,Low,Home Office,Pacific Asia,Apparel,16,0.16,508.75,1,Sunday,5,1
Standard Class,Medium,Consumer,USCA,Electronics,8,0.22,850.5,2,Thursday,1,1
Standard Class,Low,Corporate,Pacific Asia,Apparel,15,0.37,208.8,7,Monday,5,1
Standard Class,Medium,Consumer,USCA,Furniture,16,0.03,566.84,6,Tuesday,5,1
Same Day,Low,Consumer,LATAM,Apparel,18,0.19,1010.61,2,Wednesday,9,0
Second Class,Critical,Corporate,Africa,Electronics,10,0.04,288.54,5,Tuesday,9,0
Standard Class,Medium,Consumer,Africa,Office Supplies,19,0.35,66.72,6,Wednesday,7,1
Second Class,Low,Consumer,LATAM,Grocery,14,0.05,1089.12,4,Sunday,1,0
Standard Class,Medium,Home Office,USCA,Electronics,19,0.04,947.16,1,Saturday,2,1
Standard Class,High,Consumer,Pacific Asia,Electronics,14,0.39,841.58,6,Wednesday,10,1
Second Class,Low,Consumer,Europe,Electronics,3,0.23,113.92,7,Tuesday,12,0
Standard Class,Medium,Corporate,USCA,Furniture,14,0.33,1080.21,7,Monday,4,1
Standard Class,Medium,Consumer,USCA,Office Supplies,2,0.19,373.27,6,Monday,5,0
Same Day,Low,Consumer,LATAM,Electronics,2,0.17,261.67,6,Saturday,6,0
First Class,High,Consumer,LATAM,Office Supplies,3,0.36,590.12,3,Tuesday,11,0
Second Class,Low,Consumer,Europe,Electronics,2,0.4,1108.13,5,Thursday,5,0
Second Class,Low,Consumer,Pacific Asia,Furniture,6,0.25,1193.52,6,Thursday,1,0
Second Class,High,Home Office,Africa,Electronics,4,0.37,740.79,5,Tuesday,3,0
Standard Class,Medium,Consumer,Pacific Asia,Apparel,1,0.35,1147.05,1,Tuesday,6,1
Standard Class,High,Consumer,Pacific Asia,Furniture,3,0.22,549.47,5,Friday,6,0
Standard Class,Medium,Home Office,USCA,Electronics,16,0.38,45.3,3,Tuesday,8,1
Standard Class,Medium,Home Office,Europe,Electronics,15,0.08,338.03,7,Thursday,3,0
Standard Class,High,Consumer,USCA,Electronics,11,0.35,369.17,6,Sunday,5,0
Standard Class,Low,Corporate,LATAM,Apparel,19,0.12,941.42,6,Thursday,7,0
Same Day,High,Corporate,Africa,Apparel,4,0.01,157.85,7,Monday,10,0
Same Day,Medium,Corporate,Europe,Electronics,1,0.31,218.14,5,Monday,3,0
Second Class,Low,Corporate,Europe,Apparel,2,0.37,740.98,4,Friday,11,0
Standard Class,Medium,Consumer,Pacific Asia,Electronics,10,0.09,165.43,6,Thursday,4,0
First Class,Low,Consumer,USCA,Apparel,3,0.21,599.66,6,Sunday,3,0
Standard Class,Medium,Consumer,Pacific Asia,Office Supplies,17,0.3,51.73,3,Saturday,8,1
First Class,Medium,Corporate,Pacific Asia,Electronics,12,0.13,805.97,6,Tuesday,6,0
Standard Class,Critical,Corporate,Europe,Electronics,2,0.06,1090.96,4,Thursday,1,1
First Class,Low,Consumer,Africa,Grocery,13,0.16,1051.13,2,Wednesday,9,1
Standard Class,Medium,Consumer,LATAM,Grocery,4,0.18,97.61,2,Tuesday,6,1
First Class,Low,Home Office,Pacific Asia,Furniture,15,0.3,713.29,1,Tuesday,5,1
Same Day,Medium,Consumer,Africa,Office Supplies,17,0.08,133.57,7,Sunday,2,0
Standard Class,Medium,Consumer,Pacific Asia,Office Supplies,11,0.33,73.69,1,Friday,4,1
Standard Class,Medium,Corporate,Africa,Furniture,1,0.2,736.36,7,Monday,11,1
Same Day,High,Consumer,USCA,Grocery,2,0.36,691.23,5,Wednesday,11,0
Standard Class,High,Consumer,LATAM,Furniture,10,0.23,121.66,2,Tuesday,5,1
First Class,Low,Consumer,Europe,Grocery,7,0.18,438.23,5,Saturday,5,0
Second Class,Low,Corporate,USCA,Electronics,11,0.11,386.82,5,Friday,1,0
Standard Class,Medium,Consumer,Pacific Asia,Furniture,19,0.04,417.53,4,Tuesday,2,0
Standard Class,Medium,Home Office,Pacific Asia,Apparel,10,0.15,406.5,3,Thursday,7,0
Standard Class,Low,Consumer,LATAM,Grocery,2,0.17,991.34,4,Friday,3,0
First Class,Medium,Corporate,LATAM,Electronics,14,0.23,430.79,4,Thursday,1,0
Standard Class,Medium,Consumer,LATAM,Apparel,7,0.34,403.22,4,Monday,11,0
Standard Class,Low,Consumer,Pacific Asia,Apparel,13,0.19,45.24,6,Sunday,9,1
Standard Class,High,Corporate,Pacific Asia,Office Supplies,2,0.13,950.58,3,Sunday,6,0
Second Class,Medium,Consumer,Europe,Grocery,6,0.35,795.26,6,Tuesday,1,0
First Class,Low,Corporate,LATAM,Electronics,1,0.29,416.31,4,Monday,1,0
Same Day,Low,Consumer,Africa,Grocery,11,0.12,547.69,6,Monday,3,0
Standard Class,High,Consumer,Europe,Electronics,7,0.07,954.95,6,Sunday,2,0
First Class,Critical,Corporate,Africa,Grocery,5,0.12,419.62,1,Thursday,7,1
First Class,Medium,Corporate,USCA,Apparel,18,0.05,573.31,5,Monday,10,0
Second Class,Low,Consumer,LATAM,Office Supplies,12,0.36,33.55,4,Thursday,3,0
